image_id,model,prompt,gt_num,annot_id,answer_text,answer_num
geckonum_00800_0,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,15,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_0,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,9,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_0,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,11,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_0,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,14,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_0,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,8,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_1,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,10,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_1,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,5,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_1,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,17,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_1,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,7,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_1,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,3,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_2,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,0,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_2,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,12,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_2,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,6,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_2,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,1,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_2,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,13,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_3,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,12,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_3,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,15,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_3,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,13,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_3,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,14,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_3,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,8,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_4,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,0,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_4,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,10,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_4,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,1,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_4,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,3,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_4,dalle_3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,8,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_0,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,15,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_0,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,9,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_0,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,11,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_0,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,14,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_0,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,8,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_1,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,10,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_1,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,5,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_1,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,17,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_1,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,7,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_1,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,3,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2
geckonum_00801_2,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,0,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_2,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,12,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_2,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,6,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_2,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,1,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_2,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,13,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_3,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,12,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_3,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,15,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_3,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,13,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_3,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,14,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_3,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,8,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_4,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,0,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_4,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,10,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_4,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,1,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00801_4,dalle_3,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,13,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
